locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location,GeoLocation
334914,"Halal Cart, LLC",Push Cart,8748101,MARKET ST: 05TH ST \ CYRIL MAGNIN ST to MASON ST \ TURK ST (901 - 941) -- SOUTH --,901 MARKET ST,3704001,3704,1,11MFF-0175,INACTIVE,Kebab: Halal Gyros: Grilled Halal Meat: Beverages,6010303.105,2113361.952,37.78347007,-122.4080407,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0175&ExportPDF=1&Filename=11MFF-0175_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(37.7834700660829, -122.408040736138)",0xE6100000010C4A9C43BF48E442408149E4561D9A5EC0
364218,The Chai Cart,Push Cart,9543000,NEW MONTGOMERY ST: AMBROSE BIERCE ST to MISSION ST (77 - 99),79 NEW MONTGOMERY ST,3707014,3707,14,12MFF-0083,SUSPEND,Hot Indian Chai (Tea),6012504.312,2114926.774,37.7878897,-122.4005353,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0083&ExportPDF=1&Filename=12MFF-0083_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(37.7878896999061, -122.400535326777)",0xE6100000010CDAF9D691D9E442409859EC5EA2995EC0
453012,Tacos Santana,NULL,3742000,CARROLL AVE: QUINT ST to BAY SHORE BLVD \ THORNTON AVE (2100 - 2199),2101 CARROLL AVE,5436012,5436,12,13MFF-0112,EXPIRED,NULL,6011371.493,2093947.369,37.73022168,-122.4029785,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0112&ExportPDF=1&Filename=13MFF-0112_schedule.pdf,7/25/2013 0:00,00:00.0,00:00.0,0,00:00.0,"(37.7302216813049, -122.402978526686)",0xE6100000010C700470E777DD4240D3467266CA995EC0
453013,Tacos Santana,NULL,7498000,JERROLD AVE: PHELPS ST to QUINT ST (1700 - 1799),1700 JERROLD AVE,5262009,5262,9,13MFF-0112,EXPIRED,NULL,6014746.675,2098348.869,37.7424952,-122.3916176,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0112&ExportPDF=1&Filename=13MFF-0112_schedule.pdf,7/25/2013 0:00,00:00.0,00:00.0,0,00:00.0,"(37.7424951959228, -122.391617595098)",0xE6100000010C78F623150ADF4240FBDE3E4310995EC0
453014,Tacos Santana,NULL,7501000,JERROLD AVE: TOLAND ST to UPTON ST (2100 - 2230),2142 JERROLD AVE,5230011,5230,11,13MFF-0112,EXPIRED,NULL,6012644.555,2099128.352,37.74451858,-122.3989408,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0112&ExportPDF=1&Filename=13MFF-0112_schedule.pdf,7/25/2013 0:00,00:00.0,00:00.0,0,00:00.0,"(37.7445185826649, -122.398940846628)",0xE6100000010CAFE789624CDF42409253303F88995EC0
627558,"Off the Grid Services, LLC",Truck,4609000,DAVIS ST: DAVIS CT \ JACKSON ST to BROADWAY (500 - 699),Assessors Block /Lot,NULL,NULL,NULL,15MFF-0039,REQUESTED,varies truck to truck,NULL,NULL,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0039&ExportPDF=1&Filename=15MFF-0039_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(0.0, 0.0)",0xE6100000010C00000000000000000000000000000000
735315,Ziaurehman Amini,Push Cart,4969000,DRUMM ST: MARKET ST to CALIFORNIA ST (1 - 6),1 CALIFORNIA ST,264004,264,4,15MFF-0159,REQUESTED,NULL,6013552.57,2116844.5,37.79321373,-122.397043,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf,NULL,NULL,00:00.0,0,00:00.0,"(37.7932137316634, -122.397043036718)",0xE6100000010CC01D0E0788E54240BC73322769995EC0
735318,Ziaurehman Amini,Push Cart,30727000,MARKET ST: DRUMM ST intersection,5 THE EMBARCADERO,234017,234,17,15MFF-0159,REQUESTED,NULL,6013916.72,2117244.027,37.794331,-122.3958111,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf,NULL,NULL,00:00.0,0,00:00.0,"(37.7943310032468, -122.395811053023)",0xE6100000010C6B9268A3ACE542404308E2F754995EC0
751253,Pipo's Grill,Truck,5688000,FOLSOM ST: 14TH ST to 15TH ST (1800 - 1899),1800 FOLSOM ST,3549083,3549,83,16MFF-0010,REQUESTED,Tacos: Burritos: Hot Dogs: and Hamburgers,6007856.719,2107724.046,37.76785244,-122.4161049,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0010&ExportPDF=1&Filename=16MFF-0010_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(37.7678524427181, -122.416104892532)",0xE6100000010C61D024FD48E242405B486A76A19A5EC0
755221,Fruteria Serrano,NULL,9167000,MISSION ST: OCEAN AVE to PERSIA AVE (4650 - 4699),4650 MISSION ST,6955044,6955,44,16MFF-0011,REQUESTED,Fruits including mangoes: pineapples: coconuts: watermelon: corn: cucumber: potatoes chips: water: Mexican drinks: sodas: juices: snow cones,6001790.666,2091754.638,37.72366128,-122.4359438,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0011&ExportPDF=1&Filename=16MFF-0011_schedule.pdf,NULL,NULL,00:00.0,0,00:00.0,"(37.7236612795053, -122.43594382524)",0xE6100000010CAB6DCCEEA0DC42402213EE80E69B5EC0
773095,Athena SF Gyro,Push Cart,30747000,MARKET ST: 11TH ST intersection,10 SOUTH VAN NESS AVE,3506004,3506,4,15MFF-0145,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,6006927.466,2110076.439,37.77425926,-122.419486,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0145&ExportPDF=1&Filename=15MFF-0145_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(37.77425926306, -122.419485988398)",0xE6100000010CE0BB72ED1AE342402D53C2DBD89A5EC0
773105,Athena SF Gyro,Push Cart,417000,08TH ST: BRANNAN ST to TOWNSEND ST (600 - 699),699 08TH ST,3783009,3783,9,15MFF-0145,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,6011509.501,2108803.834,37.771022,-122.4035463,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0145&ExportPDF=1&Filename=15MFF-0145_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(37.7710219992437, -122.403546254184)",0xE6100000010CC69F4FD9B0E242403009ABB3D3995EC0
812017,SF Street Food,Truck,12320000,SUTTER ST: CLAUDE LN to GRANT AVE (216 - 299),290 SUTTER ST,287014,287,14,16MFF-0126,REQUESTED,Chicken Tikka Masala: Vegetarian Rice Plate: Burritos: Tacos: Mango Lassi,6011162.135,2115691.265,37.78991387,-122.4052329,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0126&ExportPDF=1&Filename=16MFF-0126_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(37.7899138671344, -122.405232892524)",0xE6100000010CE4FFC8E51BE54240DC29F155EF995EC0
812018,SF Street Food,Truck,9094000,MISSION ST: ANNIE ST to 03RD ST (663 - 699),667 MISSION ST,3722067,3722,67,16MFF-0126,REQUESTED,Chicken Tikka Masala: Vegetarian Rice Plate: Burritos: Tacos: Mango Lassi,6012350.571,2114444.914,37.78655805,-122.4010334,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0126&ExportPDF=1&Filename=16MFF-0126_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(37.7865580501799, -122.40103337535)",0xE6100000010CCFF626EFADE44240E5EEE387AA995EC0
837171,Chilifruit,Push Cart,1346000,24TH ST: MISSION ST to OSAGE ALY (3300 - 3322),Assessors Block /Lot,NULL,NULL,NULL,16MFF-0135,REQUESTED,Mangoneadas: Fruit snacks: Chamoyadas: Bionicos,NULL,NULL,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0135&ExportPDF=1&Filename=16MFF-0135_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(0.0, 0.0)",0xE6100000010C00000000000000000000000000000000
839523,Halal Cart of San Francisco,Push Cart,8741201,MARKET ST: FREMONT ST \ FRONT ST to 01ST ST \ BUSH ST (400 - 498) -- NORTH --,1 FRONT ST,266009,266,9,16MFF-0136,REQUESTED,Gyro; Chicken over rice; Gyro over rice;,6013006.032,2116325.123,37.79175721,-122.3988976,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0136&ExportPDF=1&Filename=16MFF-0136_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(37.7917572059444, -122.398897636892)",0xE6100000010CA7F3D44C58E54240C839F48987995EC0
839524,Halal Cart of San Francisco,Push Cart,8742101,MARKET ST: 01ST ST \ BUSH ST to 02ND ST (501 - 599) -- SOUTH --,555 MARKET ST,3708057,3708,57,16MFF-0136,REQUESTED,Gyro; Chicken over rice; Gyro over rice;,6012693.864,2115651.384,37.78988988,-122.3999304,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0136&ExportPDF=1&Filename=16MFF-0136_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(37.7898898782098, -122.399930411351)",0xE6100000010C1F2D8D1C1BE542406A5BB97598995EC0
840504,Taqueria Lolita,Truck,5336000,EVANS AVE: QUINT ST to RANKIN ST (1700 - 1799),750 PHELPS ST,5280001,5280,1,16MFF-0128,SUSPEND,Tacos: burritos: quesadillas: combination plates: tortas: tostadas,6014320.244,2097246.796,37.73944545,-122.393015,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0128&ExportPDF=1&Filename=16MFF-0128_schedule.pdf,NULL,00:00.0,00:00.0,0,00:00.0,"(37.7394454528691, -122.393014986698)",0xE6100000010CD59F0A26A6DE42402CAD542827995EC0
848080,Taqueria Lolita,Truck,10927000,RANKIN ST: DAVIDSON AVE to EVANS AVE (200 - 299),1700 EVANS AVE,5227001,5227,1,16MFF-0128,SUSPEND,Tacos: burritos: quesadillas: combination plates: tortas: tostadas,6014950.929,2099216.653,37.74488929,-122.390972,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0128&ExportPDF=1&Filename=16MFF-0128_schedule.pdf,NULL,00:00.0,00:00.0,0,00:00.0,"(37.744889286143, -122.390971976935)",0xE6100000010CFF8F398858DF4240A7A553AF05995EC0
848184,Reecees Soulicious,Truck,2799106,BAY SHORE BLVD: END to OAKDALE AVE (185 - 299) -- EAST --,201 BAY SHORE BLVD,5559021,5559,21,16MFF-0139,REQUESTED,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans,6011355.555,2099442.374,37.74530891,-122.4034201,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0139&ExportPDF=1&Filename=16MFF-0139_schedule.pdf,NULL,NULL,00:00.0,0,00:00.0,"(37.7453089086563, -122.403420059999)",0xE6100000010C520C464866DF4240BF0F5FA2D1995EC0
848185,Reecees Soulicious,Truck,211101,03RD ST: NEWCOMB AVE to OAKDALE AVE (4701 - 4799) -- EAST --,4705 03RD ST,5311036,5311,36,16MFF-0139,REQUESTED,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans,6015109.358,2095613.38,37.73500423,-122.3901725,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0139&ExportPDF=1&Filename=16MFF-0139_schedule.pdf,NULL,NULL,00:00.0,0,00:00.0,"(37.7350042289514, -122.3901724697)",0xE6100000010C4CE25A9E14DE42404F4AF395F8985EC0
916855,Los 2 Cuates,Truck,141000,02ND ST: STILLMAN ST to BRYANT ST (454 - 499),490 02ND ST,3763007,3763,7,16MFF-0137,EXPIRED,south American-Peruvian food: hot wok dishes: hot pastas: rice dishes.,6014337.512,2113125.58,37.7830461,-122.3940666,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0137&ExportPDF=1&Filename=16MFF-0137_schedule.pdf,NULL,00:00.0,00:00.0,0,00:00.0,"(37.78304609975, -122.39406659923)",0xE6100000010CE3D7C6DA3AE44240E2081D6338995EC0
931093,Swell Cream & Coffee,Truck,12412000,TARAVAL ST: 36TH AVE to SUNSET BLVD (2600 - 2649),2401 36TH AVE,2389001,2389,1,17MFF-0002,REQUESTED,Ice cream: coffee: pastries,5985030.8,2098527.088,37.74129028,-122.4943779,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0002&ExportPDF=1&Filename=17MFF-0002_schedule.pdf,NULL,NULL,00:00.0,0,00:00.0,"(37.7412902847707, -122.494377920435)",0xE6100000010C62F79C99E2DE424080084AE3A39F5EC0
931094,Swell Cream & Coffee,Truck,12410000,TARAVAL ST: 34TH AVE to 35TH AVE (2400 - 2499),2450 TARAVAL ST,2363022,2363,22,17MFF-0002,REQUESTED,Ice cream: coffee: pastries,5985532.259,2098975.331,37.74255037,-122.4926771,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0002&ExportPDF=1&Filename=17MFF-0002_schedule.pdf,NULL,NULL,00:00.0,0,00:00.0,"(37.7425503735592, -122.492677082215)",0xE6100000010CE00801E40BDF424089E67405889F5EC0
934302,Yummy Hot Dogs,Push Cart,8749201,MARKET ST: MASON ST \ TURK ST to 06TH ST \ GOLDEN GATE AVE \ TAYLOR ST (950 - 998) -- NORTH --,954 MARKET ST,342001,342,1,17MFF-0063,SUSPEND,Hot dogs: pretzels: chips: juices and cold drinks,6009859.555,2113263.691,37.78317542,-122.4095683,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0063&ExportPDF=1&Filename=17MFF-0063_schedule.pdf,NULL,00:00.0,00:00.0,0,00:00.0,"(37.7831754207336, -122.409568315547)",0xE6100000010C7A8A99173FE442402430065E369A5EC0
934303,Yummy Hot Dogs,Push Cart,8749101,MARKET ST: MASON ST \ TURK ST to 06TH ST \ GOLDEN GATE AVE \ TAYLOR ST (943 - 999) -- SOUTH --,945 MARKET ST,3704240,3704,240,17MFF-0063,SUSPEND,Hot dogs: pretzels: chips: juices and cold drinks,6010068.048,2113135.152,37.78283416,-122.4088379,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0063&ExportPDF=1&Filename=17MFF-0063_schedule.pdf,NULL,00:00.0,00:00.0,0,00:00.0,"(37.7828341636984, -122.408837940446)",0xE6100000010C59A3EDE833E4424018E59B662A9A5EC0
934362,Mob Dog,Push Cart,8745201,MARKET ST: 03RD ST \ KEARNY ST to GRANT AVE \ OFARRELL ST (700 - 748) -- NORTH --,720 MARKET ST,312004,312,4,17MFF-0068,REQUESTED,Hot Dogs: Chips: Bottled Drinks,6011475.041,2114841.614,37.78759842,-122.4040904,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0068&ExportPDF=1&Filename=17MFF-0068_schedule.pdf,NULL,NULL,00:00.0,0,00:00.0,"(37.7875984155546, -122.404090439434)",0xE6100000010C1E985E06D0E44240B37F259EDC995EC0
934516,Scotch Bonnet,Truck,101000,01ST ST: STEVENSON ST to END (21 - 56),50 01ST ST,3708055,3708,55,17MFF-0094,EXPIRED,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.,6013063.33,2115738.283,37.79014907,-122.3986582,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0094&ExportPDF=1&Filename=17MFF-0094_schedule.pdf,NULL,00:00.0,00:00.0,0,00:00.0,"(37.7901490737255, -122.398658184604)",0xE6100000010CD04ED79A23E542400B4A9E9D83995EC0
934517,Scotch Bonnet,Truck,9297000,MONTGOMERY ST: POST ST to SUTTER ST (1 - 99),25 MONTGOMERY ST,0292001A,292,001A,17MFF-0094,EXPIRED,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.,6011957.923,2115519.499,37.7894867,-122.4024674,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0094&ExportPDF=1&Filename=17MFF-0094_schedule.pdf,NULL,00:00.0,00:00.0,0,00:00.0,"(37.7894866961278, -122.402467438004)",0xE6100000010C7D3F6AE60DE54240A7FBC806C2995EC0
934518,Scotch Bonnet,Truck,11543000,SANSOME ST: BUSH ST to PINE ST (100 - 199),115 SANSOME ST,268002,268,2,17MFF-0094,EXPIRED,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.,6012385.284,2116217.3,37.79142654,-122.4010379,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0094&ExportPDF=1&Filename=17MFF-0094_schedule.pdf,NULL,00:00.0,00:00.0,0,00:00.0,"(37.7914265413321, -122.401037856688)",0xE6100000010C981A04774DE54240B5BBAF9AAA995EC0
934519,Scotch Bonnet,Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),430 CALIFORNIA ST,239029,239,29,17MFF-0094,EXPIRED,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.,6012181.836,2116889.979,37.79326221,-122.4017891,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0094&ExportPDF=1&Filename=17MFF-0094_schedule.pdf,NULL,00:00.0,00:00.0,0,00:00.0,"(37.7932622069231, -122.401789091363)",0xE6100000010C9AF1B19D89E54240CBD297E9B6995EC0
934551,"Casey's Pizza, LLC",Truck,5442000,FELL ST: GOUGH ST to OCTAVIA ST (300 - 399),368 FELL ST,817032,817,32,17MFF-0104,EXPIRED,Artisan Pizzas (Margherita: Yukon Potato: Zoe's Pepperoni: Funghi: Brocolli Rabe: Bacon Kale:  Arugula) and Drinks.,6005654.042,2110754.304,37.77604871,-122.4239392,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0104&ExportPDF=1&Filename=17MFF-0104_schedule.pdf,NULL,00:00.0,00:00.0,0,00:00.0,"(37.7760487080922, -122.423939211172)",0xE6100000010CF5AD669055E3424073DEEDD1219B5EC0
934552,"Casey's Pizza, LLC",Truck,9093000,MISSION ST: NEW MONTGOMERY ST to ANNIE ST (635 - 664),654 MISSION ST,3707019,3707,19,17MFF-0104,EXPIRED,Artisan Pizzas (Margherita: Yukon Potato: Zoe's Pepperoni: Funghi: Brocolli Rabe: Bacon Kale:  Arugula) and Drinks.,6012296.995,2114673.552,37.78718285,-122.4012348,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0104&ExportPDF=1&Filename=17MFF-0104_schedule.pdf,NULL,00:00.0,00:00.0,0,00:00.0,"(37.7871828477154, -122.401234808851)",0xE6100000010C74745568C2E442400A82C3D4AD995EC0
934553,"Casey's Pizza, LLC",Truck,10624001,POST ST: MONTGOMERY ST to LICK PL (1 - 40),1 POST ST,311015,311,15,17MFF-0104,EXPIRED,Artisan Pizzas (Margherita: Yukon Potato: Zoe's Pepperoni: Funghi: Brocolli Rabe: Bacon Kale:  Arugula) and Drinks.,6011921.732,2115262.393,37.78877872,-122.4025746,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0104&ExportPDF=1&Filename=17MFF-0104_schedule.pdf,NULL,00:00.0,00:00.0,0,00:00.0,"(37.788778723378, -122.402574568411)",0xE6100000010C365882B3F6E44240B3611FC8C3995EC0
934554,"Casey's Pizza, LLC",Truck,12045000,SPEAR ST: MISSION ST to HOWARD ST (100 - 199),100 SPEAR ST,3717001,3717,1,17MFF-0104,EXPIRED,Artisan Pizzas (Margherita: Yukon Potato: Zoe's Pepperoni: Funghi: Brocolli Rabe: Bacon Kale:  Arugula) and Drinks.,6014423.85,2116439.642,37.79215055,-122.394,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0104&ExportPDF=1&Filename=17MFF-0104_schedule.pdf,NULL,00:00.0,00:00.0,0,00:00.0,"(37.7921505484817, -122.393999974059)",0xE6100000010C629E6D3065E5424054CDAA4B37995EC0
934555,"Casey's Pizza, LLC",Truck,11544000,SANSOME ST: PINE ST to CALIFORNIA ST (200 - 299),231 SANSOME ST,260002,260,2,17MFF-0104,EXPIRED,Artisan Pizzas (Margherita: Yukon Potato: Zoe's Pepperoni: Funghi: Brocolli Rabe: Bacon Kale:  Arugula) and Drinks.,6012313.995,2116649.543,37.7926094,-122.4013149,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0104&ExportPDF=1&Filename=17MFF-0104_schedule.pdf,NULL,00:00.0,00:00.0,0,00:00.0,"(37.792609401119, -122.401314905451)",0xE6100000010C7527903974E54240CD93B624AF995EC0
934560,M M Catering,Truck,9206000,MISSISSIPPI ST: END to CESAR CHAVEZ ST (1200 - 1299),1200 MISSISSIPPI ST,4288003,4288,3,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6014017.542,2101712.689,37.75169104,-122.3943742,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,NULL,NULL,00:00.0,1,00:00.0,"(37.7516910357229, -122.394374213263)",0xE6100000010C28906F6937E042406C16576D3D995EC0
934561,M M Catering,Truck,9083000,MISSION ST: STEUART ST to SPEAR ST (35 - 99),98 MISSION ST,3713007,3713,7,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6014365.441,2116885.206,37.79337072,-122.3942333,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,NULL,NULL,00:00.0,1,00:00.0,"(37.7933707169278, -122.394233280448)",0xE6100000010C8C67F12B8DE5424037A1391E3B995EC0
934562,M M Catering,Truck,2110000,ALABAMA ST: 17TH ST to MARIPOSA ST (400 - 499),400 ALABAMA ST,3968001,3968,1,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6008836.323,2106230.541,37.76380665,-122.412611,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,NULL,NULL,00:00.0,1,00:00.0,"(37.7638066535277, -122.412610953897)",0xE6100000010C31AF9A6AC4E14240603DC637689A5EC0
934563,M M Catering,Truck,12044000,SPEAR ST: MARKET ST to MISSION ST (1 - 99),45 SPEAR ST,3713006,3713,6,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6014186.566,2117071.214,37.79387151,-122.3948652,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,NULL,NULL,00:00.0,1,00:00.0,"(37.7938715071506, -122.394865238621)",0xE6100000010C1238E0949DE54240158DD97845995EC0
934564,M M Catering,Truck,3144000,BROADWAY: FRONT ST to BATTERY ST (100 - 199),100 BROADWAY,0141003B,141,003B,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6012663.956,2118920.369,37.79886407,-122.4002636,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,NULL,NULL,00:00.0,1,00:00.0,"(37.7988640669494, -122.400263583781)",0xE6100000010CA5BF802D41E64240A08726EB9D995EC0
934565,M M Catering,Truck,7173000,ILLINOIS ST: 24TH ST to 25TH ST (1400 - 1499),1499 ILLINOIS ST,4244002,4244,2,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6016265.425,2102158.675,37.75304032,-122.3866318,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,NULL,NULL,00:00.0,1,00:00.0,"(37.7530403201943, -122.386631763538)",0xE6100000010CE6E60DA063E0424065FF2693BE985EC0
934566,M M Catering,Truck,192201,03RD ST: 23RD ST to 24TH ST (2700 - 2798) -- WEST --,2700 03RD ST,4230001,4230,1,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6015750.256,2102782.473,37.7547246,-122.3884569,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,NULL,NULL,00:00.0,1,00:00.0,"(37.7547246040128, -122.388456870373)",0xE6100000010C5BDCD9D09AE04240268A347ADC985EC0
934567,M M Catering,Truck,7196000,INDIANA ST: 22ND ST to TUBBS ST (1000 - 1099),1095 INDIANA ST,4170010,4170,10,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6015168.427,2103589.069,37.75690709,-122.3905254,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,NULL,NULL,00:00.0,1,00:00.0,"(37.7569070856214, -122.390525368135)",0xE6100000010C636DD554E2E042407C191D5EFE985EC0
